method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model,Unnamed: 0
IT-STGCN,0.3,rand,4,2,linear,50,1.0047098398208618,335.66491746902466,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,1.0153156518936155,259.1088256835937,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.9699440598487854,394.1446461677551,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.963526964187622,252.15611672401428,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.9747178554534912,170.25183296203613,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.9884623885154724,98.0441508293152,LRGCN,
STGCN,0.7,rand,4,2,linear,50,0.9641823172569276,164.09038400650024,LRGCN,
STGCN,0.8,rand,4,2,linear,50,0.9730917811393738,144.61792850494385,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.9931739568710328,392.85129594802856,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,0.9849668145179749,343.7775800228119,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.979154884815216,340.42845010757446,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.9778464436531068,389.04502987861633,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.9557154178619384,152.0893838405609,LRGCN,
STGCN,0.5,rand,4,2,linear,50,0.9692407846450806,204.36621403694156,LRGCN,
STGCN,0.7,rand,4,2,linear,50,0.9781960248947144,162.12685298919678,LRGCN,
STGCN,0.8,rand,4,2,linear,50,0.9707450270652772,162.1556453704834,LRGCN,
IT-STGCN,0.3,rand,4,2,linear,50,0.971556842327118,296.08270931243896,LRGCN,
IT-STGCN,0.5,rand,4,2,linear,50,1.0046323537826538,338.83981013298035,LRGCN,
IT-STGCN,0.7,rand,4,2,linear,50,0.953052282333374,342.639280796051,LRGCN,
IT-STGCN,0.8,rand,4,2,linear,50,0.98826402425766,363.3784151077271,LRGCN,
STGCN,0.3,rand,4,2,linear,50,0.9543996453285216,187.5963885784149,LRGCN,
STGCN,0.5,rand,4,2,linear,50,1.0474287271499634,128.0298867225647,LRGCN,
STGCN,0.7,rand,4,2,linear,50,1.0004833936691284,181.05273580551147,LRGCN,
STGCN,0.8,rand,4,2,linear,50,0.9748520255088806,220.58717107772827,LRGCN,
