dataset,method,mrate,mtype,lags,nof_filters,inter_method,epoch,mse,calculation_time,model
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.848716378211975,124.64489674568176,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.25713324546814,113.50921773910522,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.152937889099121,115.63720536231996,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.6702640056610107,123.69852447509766,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.1214691400527954,132.40839767456055,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.257976531982422,138.3500256538391,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.2746082544326782,144.121102809906,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.344776630401611,141.00254940986633,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.956618309020996,117.05471158027648,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.288060426712036,119.4691014289856,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,1.7378884553909302,115.85664248466492,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.65824818611145,112.78726506233215,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.1808044910430908,138.4530053138733,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.132616400718689,130.6308207511902,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.349304437637329,134.21510887145996,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.3608496189117432,133.49490904808044,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.769991755485535,114.70228695869446,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.2273976802825928,115.1116819381714,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.213925361633301,114.58494353294373,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.4949097633361816,119.86127591133118,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.1064480543136597,134.45456385612488,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.1790754795074463,135.63965320587158,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.5020098686218262,137.7552421092987,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.2974178791046145,133.86510705947876,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.6421512365341189,120.5513515472412,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.227872848510742,119.69969296455383,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.3113529682159424,114.03607487678528,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.579409122467041,114.89620852470398,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.156994342803955,137.2683343887329,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.154495120048523,136.73866271972656,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.5077662467956543,132.52251434326172,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.3548967838287354,137.62249279022217,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,2.1000070571899414,113.52913236618042,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.3586528301239014,112.31288051605225,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.26680588722229,116.65718603134157,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.5974984169006348,118.19013142585754,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.2037179470062256,140.99680042266846,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.1154299974441528,153.7240767478943,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.2708383798599243,138.62073588371277,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.3253657817840576,135.0316128730774,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,1.6975022554397583,127.66416025161745,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.31734299659729,114.59655570983888,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.07154393196106,115.91501259803772,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.7120602130889893,114.44006109237672,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.207997441291809,134.59388279914856,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.0661818981170654,139.71133375167847,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.3896169662475586,141.51123118400574,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.3444263935089111,137.59608554840088,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,2.016547203063965,115.07229661941528,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.4544851779937744,119.49501085281372,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.284088611602783,117.77692222595216,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.7214651107788086,113.83162021636964,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.1865286827087402,139.09882950782776,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.1368508338928225,132.09891366958618,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.4663221836090088,134.53517127037048,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.3877962827682495,137.5410439968109,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,linear,50.0,2.053818941116333,114.77673316001892,GConvGRU
fivenodes,STGCN,0.7,rand,2,12.0,nearest,50.0,2.2512764930725098,116.78603339195251,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,linear,50.0,2.162256956100464,115.4342794418335,GConvGRU
fivenodes,STGCN,0.8,rand,2,12.0,nearest,50.0,2.6702938079833984,119.10186553001404,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,linear,50.0,1.1947115659713743,134.05884218215942,GConvGRU
fivenodes,IT-STGCN,0.7,rand,2,12.0,nearest,50.0,1.2024171352386477,138.5613980293274,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,linear,50.0,1.4518028497695925,139.4745533466339,GConvGRU
fivenodes,IT-STGCN,0.8,rand,2,12.0,nearest,50.0,1.3643534183502195,135.4367799758911,GConvGRU
fivenodes,STGCN,0.125,block,2,12.0,linear,50.0,1.2184497117996216,40.77296233177185,GConvGRU
fivenodes,STGCN,0.125,block,2,12.0,nearest,50.0,1.221890926361084,44.00170731544495,GConvGRU
